Datas,Papel,Abertura,Alta,Baixa,Fechamento,Volume,MMS9,MME50,DesvioPadrao,BandaSuperior,BandaInferior,IFR,Max20,Min20,FechamentoSeguinte
2019-10-11,BBAS3,37.46934802869234,37.962806096343584,37.42753019729736,37.82898712158203,9108300,37.16268115573459,38.800935248733516,1.1604338925653794,39.63282748528168,34.991091915020164,48.37055237618622,40.16246032714844,35.972251892089844,37.63662338256836
2019-10-14,BBAS3,37.83735344442701,38.1049913999078,37.494442114561224,37.63662338256836,6863500,37.167327880859375,38.755275959864264,1.14468774771026,39.575484379364944,34.9967333885239,47.364014580762415,40.16246032714844,35.972251892089844,37.118080139160156
2019-10-15,BBAS3,37.61153828289166,37.78717511612748,37.026078981609054,37.118080139160156,14788500,37.25654093424479,38.691072202189545,1.1037599610986524,39.409232097046385,34.99419225265177,44.62697596134068,40.16246032714844,35.972251892089844,37.63662338256836
2019-10-16,BBAS3,37.13480301366589,37.93771688010828,36.716618309415125,37.63662338256836,15239700,37.229591369628906,38.64972126808672,0.9701027761860239,39.145719593232315,35.265308488488216,47.871087428095116,39.73591232299805,35.972251892089844,37.56135177612305
2019-10-17,BBAS3,37.912628603285576,38.22208440565771,37.285351517384726,37.56135177612305,24953800,37.16546969943576,38.6070401115391,0.9194749241387776,39.15775380890433,35.479854112349216,47.410887089160866,39.73591232299805,35.972251892089844,38.52317810058594
2019-10-18,BBAS3,38.47299478489655,38.932997345312366,38.05481005897376,38.52317810058594,47116600,37.37549167209201,38.60375140522721,0.813096538194047,39.00354327669438,35.7511571239182,53.22226073443226,39.543540954589844,35.972251892089844,38.80754089355469
2019-10-21,BBAS3,38.723902040426566,39.10026890326306,38.28062728558359,38.80754089355469,15751100,37.69052378336588,38.61174314986751,0.736160838059321,38.91049861148796,35.96585525925068,54.791448901585085,38.80754089355469,35.972251892089844,39.64391326904297
2019-10-22,BBAS3,38.89117948665121,39.86973021326423,38.84099617099301,39.64391326904297,17097300,37.98790062798394,38.65222040944304,0.8520614463980345,39.41602100292569,36.007775217333545,59.21197914799428,39.64391326904297,35.972251892089844,39.811187744140625
2019-10-23,BBAS3,39.60209536483212,40.446830363916526,39.20900386126976,39.811187744140625,20761300,38.28527620103624,38.69767010884297,0.9735356702203765,40.00796361893862,36.11382093805712,60.06308314649416,39.811187744140625,35.972251892089844,39.560272216796875
2019-10-24,BBAS3,39.928276796899446,40.212642522207766,39.06681414024704,39.560272216796875,22140500,38.47764121161567,38.731497642488236,1.0491156915597444,40.39482825700976,36.19836549077078,58.14170206497715,39.811187744140625,35.972251892089844,39.9199104309082
